SSC,date
1.026041541,2019-07-04
1.038182596,2019-07-04
0.9870294231,2019-07-04
1.004646859,2019-07-04
0.9963672398,2019-07-09
0.9691109188,2019-07-09
1.029907654,2019-07-09
0.9844443099,2019-07-09
0.8484133938,2019-07-14
0.8316816053,2019-07-14
0.8373168779,2019-07-14
0.8271213818,2019-07-14
0.8359039616,2019-07-19
0.9104326834,2019-07-19
0.8224372622,2019-07-19
0.951517423,2019-07-19
0.8797458928,2019-07-24
0.867754582,2019-07-24
0.8550882894,2019-07-24
0.8828437161,2019-07-24
0.8795623348,2019-07-29
0.7250382766,2019-07-29
0.8837002336,2019-07-29
0.70904467,2019-07-29
0.981457408,2019-08-03
0.9900380869,2019-08-03
0.9868640049,2019-08-03
0.9965225474,2019-08-03
0.5534578782,2019-08-08
0.5142397636,2019-08-08
0.5503391172,2019-08-08
0.5129097554,2019-08-08
0.813397161,2019-08-13
0.6173737443,2019-08-13
0.8860315512,2019-08-13
0.624574492,2019-08-13
0.9627978264,2019-08-18
0.9937229722,2019-08-18
0.9612692853,2019-08-18
0.9955842385,2019-08-18
0.5918693195,2019-08-23
0.5396178932,2019-08-23
0.6835760731,2019-08-23
0.5588271598,2019-08-23
0.6883649778,2019-08-28
0.6292146015,2019-08-28
0.6763224998,2019-08-28
0.6127081085,2019-08-28
0.6574747071,2019-09-02
0.5324347078,2019-09-02
0.6647578799,2019-09-02
0.5235368016,2019-09-02
0.6868752182,2019-09-07
0.6127500127,2019-09-07
0.7505744374,2019-09-07
0.6052822378,2019-09-07
0.6959454665,2019-09-12
0.6497009852,2019-09-12
0.7262161852,2019-09-12
0.6313067298,2019-09-12
0.7545214508,2019-09-17
0.5597333973,2019-09-17
0.701244774,2019-09-17
0.5226788412,2019-09-17
0.8723450696,2019-09-22
0.7705843666,2019-09-22
0.9267690606,2019-09-22
0.8664459617,2019-09-22
0.9479379554,2019-09-27
0.5942855997,2019-09-27
0.9232104144,2019-09-27
0.5868551146,2019-09-27
0.7596621116,2019-10-02
0.6516421806,2019-10-02
0.7841916043,2019-10-02
0.6677025133,2019-10-02
0.7502799422,2019-10-07
0.6387259374,2019-10-07
0.758083271,2019-10-07
0.6468648613,2019-10-07
0.667013875,2019-10-12
0.6278980528,2019-10-12
0.6429956564,2019-10-12
0.6354490521,2019-10-12
0.7340490949,2019-10-17
0.7117770814,2019-10-17
0.7141602168,2019-10-17
0.7050881595,2019-10-17
0.7640727218,2019-10-22
0.649213383,2019-10-22
0.721729759,2019-10-22
0.6748113116,2019-10-22
0.7216210135,2019-10-27
0.7216292359,2019-10-27
0.7098348406,2019-10-27
0.7309254173,2019-10-27
0.9414133282,2019-11-01
0.9211593198,2019-11-01
0.9251637507,2019-11-01
0.909566826,2019-11-01
0.7074478871,2019-11-06
0.7795976805,2019-11-06
0.7134479635,2019-11-06
0.7958589553,2019-11-06
0.8453122993,2019-11-11
0.8576693797,2019-11-11
0.8595444734,2019-11-11
0.8609695301,2019-11-11
0.7375262575,2019-11-16
0.7713276471,2019-11-16
0.7188922771,2019-11-16
0.7727480332,2019-11-16
0.8582652418,2019-11-21
0.845955733,2019-11-21
0.8626785945,2019-11-21
0.8563502084,2019-11-21
0.852384185,2019-11-26
0.9379771964,2019-11-26
0.8706375191,2019-11-26
0.9141930007,2019-11-26
0.6922876862,2019-12-01
0.7416064711,2019-12-01
0.707805796,2019-12-01
0.7196729116,2019-12-01
0.7488576902,2019-12-06
0.8035201252,2019-12-06
0.7740081106,2019-12-06
0.7658253355,2019-12-06
0.9088733199,2019-12-11
0.9149339197,2019-12-11
0.9288137602,2019-12-11
0.895044977,2019-12-11
0.9899833527,2019-12-16
0.9964796072,2019-12-16
0.9952052555,2019-12-16
0.9985574383,2019-12-16
0.9753325769,2019-12-21
0.9873021797,2019-12-21
0.9675015455,2019-12-21
0.9760973437,2019-12-21
0.9358112133,2019-12-26
0.9479861922,2019-12-26
0.9159762872,2019-12-26
0.9455057119,2019-12-26
0.7797933885,2019-12-31
0.8341845136,2019-12-31
