NDWI,date
-0.3035945653,2020-03-10
-0.3660366304,2020-03-10
-0.2348659444,2020-03-10
-0.3760919236,2020-03-10
-0.2141617326,2020-03-15
-0.3044128502,2020-03-15
-0.1396993912,2020-03-15
-0.311355627,2020-03-15
-0.2223314735,2020-03-20
-0.2728993122,2020-03-20
-0.1711856578,2020-03-20
-0.278801815,2020-03-20
-0.2814188282,2020-03-25
-0.3163089399,2020-03-25
-0.245853879,2020-03-25
-0.3232843101,2020-03-25
-0.277870421,2020-03-30
-0.3188670061,2020-03-30
-0.26133722,2020-03-30
-0.3217620196,2020-03-30
-0.2579490656,2020-04-04
-0.2871607026,2020-04-04
-0.2527828351,2020-04-04
-0.2884358032,2020-04-04
-0.20977161,2020-04-09
-0.241007757,2020-04-09
-0.200753063,2020-04-09
-0.2391313748,2020-04-09
-0.1031749584,2020-04-14
-0.1906831455,2020-04-14
-0.128517665,2020-04-14
-0.20472791,2020-04-14
-0.2284753607,2020-04-19
-0.2354804204,2020-04-19
-0.2382979336,2020-04-19
-0.2404674983,2020-04-19
-0.2124385612,2020-04-24
-0.2181930013,2020-04-24
-0.2223722027,2020-04-24
-0.2179389104,2020-04-24
-0.1949034748,2020-04-29
-0.1924772849,2020-04-29
-0.200858801,2020-04-29
-0.1883661043,2020-04-29
-0.1423802102,2020-05-04
-0.1932811092,2020-05-04
-0.1492349601,2020-05-04
-0.2063473284,2020-05-04
-0.1866999093,2020-05-09
-0.1760543964,2020-05-09
-0.1980101448,2020-05-09
-0.1787037456,2020-05-09
-0.1721539451,2020-05-14
-0.1533181105,2020-05-14
-0.1804698762,2020-05-14
-0.1524504295,2020-05-14
-0.1936366991,2020-05-24
-0.1764939712,2020-05-24
-0.2031209246,2020-05-24
-0.1765052306,2020-05-24
-0.08356328048,2020-05-29
-0.1088645392,2020-05-29
-0.09559192111,2020-05-29
-0.1117536878,2020-05-29
-0.1647264255,2020-06-03
-0.1728873034,2020-06-03
-0.1788209175,2020-06-03
-0.1722991308,2020-06-03
-0.1817457273,2020-06-08
-0.1927124834,2020-06-08
-0.2006681692,2020-06-08
-0.1945327073,2020-06-08
-0.09750429165,2020-06-13
-0.08737172002,2020-06-13
-0.1194756596,2020-06-13
-0.09648840213,2020-06-13
-0.2017253816,2020-06-18
-0.2198385707,2020-06-18
-0.2186530164,2020-06-18
-0.2181343928,2020-06-18
-0.1558042351,2020-06-23
-0.08456284287,2020-06-23
-0.1409447016,2020-06-23
-0.08137218596,2020-06-23
-0.1683772789,2020-06-28
-0.1253098975,2020-06-28
-0.1840733412,2020-06-28
-0.1706554987,2020-06-28
-0.1590484416,2020-07-03
-0.1524014281,2020-07-03
-0.1473487815,2020-07-03
-0.147323481,2020-07-03
-0.01314901419,2020-07-08
-0.01731058596,2020-07-08
-0.007977848478,2020-07-08
-0.009547397554,2020-07-08
-0.2359127041,2020-07-13
-0.2357115198,2020-07-13
-0.2245000213,2020-07-13
-0.221172835,2020-07-13
-0.02975170905,2020-07-18
-0.02349042796,2020-07-18
-0.03616638391,2020-07-18
-0.0252614795,2020-07-18
-0.1555426586,2020-07-23
-0.184405963,2020-07-23
-0.15312297,2020-07-23
-0.1737842691,2020-07-23
-0.2339984188,2020-07-28
-0.2560746783,2020-07-28
-0.2222988181,2020-07-28
-0.2514690938,2020-07-28
-0.2554174947,2020-08-02
-0.2673772201,2020-08-02
-0.2403613266,2020-08-02
-0.257097867,2020-08-02
-0.1771976086,2020-08-07
-0.1965613022,2020-08-07
-0.1341648666,2020-08-07
-0.1944023629,2020-08-07
-0.1528493343,2020-08-12
-0.236651399,2020-08-12
-0.1062197725,2020-08-12
-0.2140015843,2020-08-12
-0.05591640589,2020-08-17
-0.03084785629,2020-08-17
-0.1038124676,2020-08-17
-0.04894903372,2020-08-17
-0.2099835196,2020-08-22
-0.2994767458,2020-08-22
-0.161078061,2020-08-22
-0.2966612814,2020-08-22
-0.136006462,2020-08-27
-0.1785558547,2020-08-27
-0.1585965297,2020-08-27
-0.1715202916,2020-08-27
-0.1242356214,2020-09-01
-0.1574157628,2020-09-01
-0.1522661869,2020-09-01
-0.193727615,2020-09-01
-0.1276385809,2020-09-06
-0.1741084281,2020-09-06
-0.08375559196,2020-09-06
-0.1723298963,2020-09-06
-0.2630925345,2020-09-11
-0.3352340636,2020-09-11
-0.2659950501,2020-09-11
-0.3229462513,2020-09-11
-0.2153459885,2020-09-16
-0.2937236841,2020-09-16
-0.2094291266,2020-09-16
-0.2900965727,2020-09-16
-0.1882677557,2020-09-21
-0.2645472717,2020-09-21
-0.1946787094,2020-09-21
-0.2569908264,2020-09-21
-0.1110007349,2020-09-26
-0.04317519135,2020-09-26
-0.06242809611,2020-09-26
-0.0516212282,2020-09-26
-0.2458907747,2020-10-01
-0.2888779947,2020-10-01
-0.2519012674,2020-10-01
-0.2769902268,2020-10-01
-0.2544980783,2020-10-06
-0.2959614612,2020-10-06
-0.2618097866,2020-10-06
-0.2819266013,2020-10-06
-0.1888748813,2020-10-11
-0.2275500155,2020-10-11
-0.1825172592,2020-10-11
-0.2166009561,2020-10-11
-0.1989313784,2020-10-16
-0.2055404103,2020-10-16
-0.2047321793,2020-10-16
-0.1992884054,2020-10-16
-0.2093818211,2020-10-21
-0.2214204073,2020-10-21
-0.2201900474,2020-10-21
-0.2126882421,2020-10-21
-0.1042961361,2020-10-26
-0.1070818289,2020-10-26
-0.1057059303,2020-10-26
-0.1050099759,2020-10-26
-0.1706787137,2020-10-31
-0.181763111,2020-10-31
-0.1755657154,2020-10-31
-0.1795425224,2020-10-31
-0.1127125902,2020-11-05
-0.1271944654,2020-11-05
-0.1295516163,2020-11-05
-0.1293481333,2020-11-05
-0.076357751,2020-11-10
-0.07331862282,2020-11-10
-0.06980296635,2020-11-10
-0.08313904488,2020-11-10
-0.0564246652,2020-11-15
-0.02188106417,2020-11-15
-0.04700079746,2020-11-15
-0.01769560316,2020-11-15
-0.1712538227,2020-11-20
-0.1538418971,2020-11-20
-0.1663779999,2020-11-20
-0.1598018024,2020-11-20
-0.03770397741,2020-11-25
-0.04105681571,2020-11-25
-0.0397457292,2020-11-25
-0.0363526339,2020-11-25
-0.1488744308,2020-11-30
-0.1286603522,2020-11-30
-0.1313384469,2020-11-30
-0.1363793051,2020-11-30
-0.1245992968,2020-12-05
-0.07010657333,2020-12-05
-0.08904940749,2020-12-05
-0.07641802071,2020-12-05
-0.1364469124,2020-12-10
-0.117774991,2020-12-10
-0.1058923904,2020-12-10
-0.1279939716,2020-12-10
-0.149182249,2020-12-15
-0.1465467508,2020-12-15
-0.1119040885,2020-12-15
-0.159267986,2020-12-15
-0.1757548526,2020-12-20
-0.1722337785,2020-12-20
-0.129593168,2020-12-20
-0.1759485922,2020-12-20
-0.193855455,2020-12-25
-0.2063700731,2020-12-25
-0.143367106,2020-12-25
-0.2108513851,2020-12-25
-0.08538144479,2020-12-30
-0.07649689566,2020-12-30
-0.08887527335,2020-12-30
-0.07440944486,2020-12-30
-0.1551539187,2021-01-04
-0.1952983692,2021-01-04
-0.1022050328,2021-01-04
-0.2041197068,2021-01-04
-0.03823643824,2021-01-09
-0.09139632701,2021-01-09
-0.0252918281,2021-01-09
-0.08512335966,2021-01-09
-0.1074714191,2021-01-14
-0.05950201928,2021-01-14
-0.06673277133,2021-01-14
-0.05940488347,2021-01-14
-0.04960291074,2021-01-19
-0.1244779683,2021-01-19
-0.05107062933,2021-01-19
-0.1581167061,2021-01-19
-0.04979337675,2021-01-24
-0.05166999578,2021-01-24
-0.04850851187,2021-01-24
-0.05161249697,2021-01-24
-0.1938404251,2021-01-29
-0.2247126374,2021-01-29
-0.1148570409,2021-01-29
-0.2198444395,2021-01-29
-0.2006177228,2021-02-03
-0.2182830766,2021-02-03
-0.1155365136,2021-02-03
-0.2271664067,2021-02-03
-0.2207923964,2021-02-08
-0.2652304545,2021-02-08
-0.1349961397,2021-02-08
-0.2710315479,2021-02-08
-0.0819835472,2021-02-13
-0.06881944652,2021-02-13
-0.0774912311,2021-02-13
-0.07081033187,2021-02-13
-0.2152401591,2021-02-18
-0.2806959067,2021-02-18
-0.1361682465,2021-02-18
-0.3023561566,2021-02-18
-0.2454795216,2021-02-23
-0.303121773,2021-02-23
-0.1749065078,2021-02-23
-0.3071593846,2021-02-23
-0.2284604035,2021-02-28
-0.2848092628,2021-02-28
-0.1710624326,2021-02-28
-0.2928909613,2021-02-28
-0.2744130602,2021-03-05
-0.342949347,2021-03-05
-0.211181142,2021-03-05
-0.3453843096,2021-03-05
-0.2198108658,2021-03-10
-0.2607732111,2021-03-10
-0.1544627524,2021-03-10
-0.2591480571,2021-03-10
-0.2185892415,2021-03-10
-0.1597274919,2021-03-10
-0.1882399162,2021-03-15
-0.2182302953,2021-03-15
-0.1505025461,2021-03-15
-0.2231101276,2021-03-15
-0.2100992598,2021-03-20
-0.2395158784,2021-03-20
-0.1816244735,2021-03-20
-0.2477896656,2021-03-20
-0.2008532541,2021-03-25
-0.2286428785,2021-03-25
-0.1901856838,2021-03-25
-0.2179600893,2021-03-25
-0.2314268738,2021-03-30
-0.2324096743,2021-03-30
-0.2190450355,2021-03-30
-0.2377465316,2021-03-30
-0.2222926541,2021-04-04
-0.2327471899,2021-04-04
-0.212230224,2021-04-04
-0.2395153609,2021-04-04
-0.2360141054,2021-04-09
-0.2418615823,2021-04-09
-0.230992968,2021-04-09
