DOM,date
1.14263066,2019-11-21
1.112955965,2019-11-21
1.145861938,2019-11-21
1.14596743,2019-11-21
1.124680649,2019-11-26
1.104968372,2019-11-26
1.144902054,2019-11-26
1.102898791,2019-11-26
1.129549189,2019-12-01
1.11803428,2019-12-01
1.156956996,2019-12-01
1.118392324,2019-12-01
1.131367304,2019-12-06
1.101140851,2019-12-06
1.153215438,2019-12-06
1.106536315,2019-12-06
1.119630551,2019-12-11
1.150034208,2019-12-11
1.1137446,2019-12-11
1.147502851,2019-12-11
1.068376472,2019-12-16
1.068263259,2019-12-16
1.067019485,2019-12-16
1.067732727,2019-12-16
1.086049141,2019-12-21
1.058661031,2019-12-21
1.121203376,2019-12-21
1.062007468,2019-12-21
1.078682907,2019-12-26
1.069109753,2019-12-26
1.10528896,2019-12-26
1.06911183,2019-12-26
1.152470133,2019-12-31
1.114992172,2019-12-31
1.171940978,2019-12-31
1.11772142,2019-12-31
1.163393864,2020-01-05
1.156766993,2020-01-05
1.18379672,2020-01-05
1.158522983,2020-01-05
1.155633705,2020-01-10
1.162129067,2020-01-10
1.184999468,2020-01-10
1.158453034,2020-01-10
1.169595389,2020-01-15
1.165678277,2020-01-15
1.189338038,2020-01-15
1.168373178,2020-01-15
1.101279722,2020-01-20
1.092668908,2020-01-20
1.117888674,2020-01-20
1.093086954,2020-01-20
1.146580862,2020-01-25
1.14790977,2020-01-25
1.165731269,2020-01-25
1.143607115,2020-01-25
1.148092847,2020-01-30
1.155069795,2020-01-30
1.172790555,2020-01-30
1.155422357,2020-01-30
1.15708199,2020-02-04
1.146418522,2020-02-04
1.16603621,2020-02-04
1.154611056,2020-02-04
1.146886744,2020-02-09
1.144323307,2020-02-09
1.157010048,2020-02-09
1.150644111,2020-02-09
1.123883591,2020-02-14
1.122581761,2020-02-14
1.130407869,2020-02-14
1.119429648,2020-02-14
1.114020156,2020-02-19
1.116202982,2020-02-19
1.121786098,2020-02-19
1.146502165,2020-02-19
1.146256596,2020-02-24
1.154200878,2020-02-24
1.144588503,2020-02-24
1.147998626,2020-02-24
1.10761303,2020-02-29
1.07832151,2020-02-29
1.128216308,2020-02-29
1.101906918,2020-02-29
1.110906706,2020-03-05
1.102054579,2020-03-05
1.109953241,2020-03-05
1.096101084,2020-03-05
1.084398459,2020-03-10
1.079747867,2020-03-10
1.094247574,2020-03-10
1.078762066,2020-03-10
1.116208307,2020-03-15
1.116293162,2020-03-15
1.126122655,2020-03-15
1.113214346,2020-03-15
1.101766609,2020-03-20
1.094670211,2020-03-20
1.109631371,2020-03-20
1.09107546,2020-03-20
1.049152191,2020-03-25
1.048409325,2020-03-25
1.060984583,2020-03-25
1.039537704,2020-03-25
1.039053704,2020-03-30
1.035705553,2020-03-30
1.05267144,2020-03-30
1.026785727,2020-03-30
1.028635324,2020-04-04
1.02271204,2020-04-04
1.043171091,2020-04-04
1.013923921,2020-04-04
1.043184505,2020-04-09
1.027147224,2020-04-09
1.061822403,2020-04-09
1.030581201,2020-04-09
1.054012192,2020-04-14
1.029041971,2020-04-14
1.056843417,2020-04-14
1.01776015,2020-04-14
1.019477985,2020-04-19
1.01045711,2020-04-19
1.038171424,2020-04-19
1.001694198,2020-04-19
1.018090657,2020-04-24
1.01273576,2020-04-24
1.043550308,2020-04-24
1.011628594,2020-04-24
1.029213548,2020-04-29
1.021522331,2020-04-29
1.061846045,2020-04-29
1.027808114,2020-04-29
1.039909593,2020-05-04
1.011709678,2020-05-04
1.058066773,2020-05-04
1.001788046,2020-05-04
1.029906444,2020-05-09
1.030097655,2020-05-09
1.054129706,2020-05-09
1.029513293,2020-05-09
1.020503254,2020-05-14
1.028414747,2020-05-14
1.047656436,2020-05-14
1.03299417,2020-05-14
0.9847684894,2020-05-24
0.9856481146,2020-05-24
1.013054172,2020-05-24
0.991190303,2020-05-24
1.009049215,2020-05-29
0.9976497099,2020-05-29
1.017587988,2020-05-29
0.9997845519,2020-05-29
1.026636549,2020-06-03
1.024594007,2020-06-03
1.055660734,2020-06-03
1.027485685,2020-06-03
1.030882422,2020-06-08
1.016685955,2020-06-08
1.057547825,2020-06-08
1.015645572,2020-06-08
1.071327683,2020-06-13
1.08483103,2020-06-13
1.095371476,2020-06-13
1.081473454,2020-06-13
1.002239779,2020-06-18
1.002837142,2020-06-18
1.029005479,2020-06-18
1.004423823,2020-06-18
1.025401877,2020-06-23
1.054493942,2020-06-23
1.06125778,2020-06-23
1.061993305,2020-06-23
0.9960882896,2020-06-28
0.9963363517,2020-06-28
1.015731178,2020-06-28
0.9975821699,2020-06-28
1.030027024,2020-07-03
1.056620644,2020-07-03
1.066209315,2020-07-03
1.057659059,2020-07-03
1.057131143,2020-07-08
1.062232316,2020-07-08
1.05750059,2020-07-08
1.06284601,2020-07-08
0.9935309871,2020-07-13
1.004328288,2020-07-13
1.022768471,2020-07-13
1.012618592,2020-07-13
1.06619065,2020-07-18
1.061097132,2020-07-18
1.070395878,2020-07-18
1.063694595,2020-07-18
1.073567451,2020-07-23
1.078082517,2020-07-23
1.088489613,2020-07-23
1.082149538,2020-07-23
1.020986263,2020-07-28
1.025949061,2020-07-28
1.050396647,2020-07-28
1.029900002,2020-07-28
1.018679503,2020-08-02
1.036447555,2020-08-02
1.051764461,2020-08-02
1.041605869,2020-08-02
1.051836091,2020-08-07
1.058084786,2020-08-07
1.07473532,2020-08-07
1.060033822,2020-08-07
1.053879986,2020-08-12
1.066349758,2020-08-12
1.068505834,2020-08-12
1.073342585,2020-08-12
1.065331673,2020-08-17
1.060328919,2020-08-17
1.080061042,2020-08-17
1.065569098,2020-08-17
1.056257134,2020-08-22
1.048124123,2020-08-22
1.07138447,2020-08-22
1.041550484,2020-08-22
1.068274402,2020-08-27
1.08278383,2020-08-27
1.079092842,2020-08-27
1.076013158,2020-08-27
1.06428246,2020-09-01
1.072153902,2020-09-01
1.07310625,2020-09-01
1.061135371,2020-09-01
1.081197189,2020-09-06
1.097677162,2020-09-06
1.090544185,2020-09-06
1.100094414,2020-09-06
1.049692944,2020-09-11
1.055949754,2020-09-11
1.073296516,2020-09-11
1.055585425,2020-09-11
1.075383952,2020-09-16
1.075903528,2020-09-16
1.098642353,2020-09-16
1.070353634,2020-09-16
1.083636844,2020-09-21
1.080941632,2020-09-21
1.102277408,2020-09-21
1.075982054,2020-09-21
1.055139213,2020-09-26
1.035645671,2020-09-26
1.049913681,2020-09-26
1.039491805,2020-09-26
1.042533202,2020-10-01
1.042615055,2020-10-01
1.071539228,2020-10-01
1.039736682,2020-10-01
1.04560076,2020-10-06
1.037906563,2020-10-06
1.076888792,2020-10-06
1.038908669,2020-10-06
1.076176332,2020-10-11
1.068306555,2020-10-11
1.099906806,2020-10-11
1.070236608,2020-10-11
1.080036551,2020-10-16
1.084006581,2020-10-16
1.107821947,2020-10-16
1.084531361,2020-10-16
1.064965656,2020-10-21
1.058075546,2020-10-21
1.09337328,2020-10-21
1.059765354,2020-10-21
1.107749413,2020-10-26
1.109295684,2020-10-26
1.123465777,2020-10-26
1.111978545,2020-10-26
1.101717629,2020-10-31
1.090538913,2020-10-31
1.125532707,2020-10-31
1.090837088,2020-10-31
1.121079296,2020-11-05
1.115462903,2020-11-05
1.137254388,2020-11-05
1.11540182,2020-11-05
1.103661113,2020-11-10
1.111459714,2020-11-10
1.108926182,2020-11-10
1.114320281,2020-11-10
1.145323522,2020-11-15
1.142600848,2020-11-15
1.156341013,2020-11-15
1.147363171,2020-11-15
1.125992527,2020-11-20
1.113528153,2020-11-20
1.151069455,2020-11-20
1.111171148,2020-11-20
1.071147634,2020-11-25
1.073699538,2020-11-25
1.074951598,2020-11-25
1.076582177,2020-11-25
1.131005171,2020-11-30
1.119275643,2020-11-30
1.154238175,2020-11-30
1.118092228,2020-11-30
1.13241304,2020-12-05
1.131246182,2020-12-05
1.15234322,2020-12-05
1.134048061,2020-12-05
1.140285184,2020-12-10
1.135473176,2020-12-10
1.160061427,2020-12-10
1.134147172,2020-12-10
1.140197744,2020-12-15
1.133853417,2020-12-15
1.15907053,2020-12-15
1.133479394,2020-12-15
1.141628555,2020-12-20
1.131033215,2020-12-20
1.163575438,2020-12-20
1.124931251,2020-12-20
1.141151884,2020-12-25
1.135854564,2020-12-25
1.162677976,2020-12-25
1.136842193,2020-12-25
1.117405005,2020-12-30
1.083372969,2020-12-30
1.158820872,2020-12-30
1.082276223,2020-12-30
1.169999696,2021-01-04
1.158017257,2021-01-04
1.188892195,2021-01-04
1.158303871,2021-01-04
1.111703755,2021-01-09
1.159761018,2021-01-09
1.10970967,2021-01-09
1.173052064,2021-01-09
1.110684629,2021-01-14
1.036386785,2021-01-14
1.134336676,2021-01-14
1.037489004,2021-01-14
1.088090005,2021-01-19
1.141237884,2021-01-19
1.153199235,2021-01-19
1.151017665,2021-01-19
1.0382398,2021-01-24
1.036532903,2021-01-24
1.035744046,2021-01-24
1.034181236,2021-01-24
1.162502384,2021-01-29
1.166189022,2021-01-29
1.174185302,2021-01-29
1.164088032,2021-01-29
1.149030511,2021-02-03
1.158698681,2021-02-03
1.160183475,2021-02-03
1.156613674,2021-02-03
1.149808074,2021-02-08
1.155150607,2021-02-08
1.15720182,2021-02-08
1.152587612,2021-02-08
1.085816562,2021-02-13
1.040157597,2021-02-13
1.137001984,2021-02-13
1.040215686,2021-02-13
1.147016488,2021-02-18
1.152264586,2021-02-18
1.148983483,2021-02-18
1.147219685,2021-02-18
1.117875991,2021-02-23
1.127468494,2021-02-23
1.116823865,2021-02-23
1.124895343,2021-02-23
1.095582845,2021-02-28
1.102792463,2021-02-28
1.094784761,2021-02-28
1.098992754,2021-02-28
1.097707086,2021-03-05
1.102809978,2021-03-05
1.098819906,2021-03-05
1.098948221,2021-03-05
1.100247669,2021-03-10
1.109142465,2021-03-10
1.108997529,2021-03-10
1.108599972,2021-03-10
1.09645315,2021-03-10
1.108238365,2021-03-10
1.061801204,2021-03-15
1.063527635,2021-03-15
1.067056785,2021-03-15
1.061892038,2021-03-15
1.065306786,2021-03-20
1.073009392,2021-03-20
1.073084623,2021-03-20
1.067437953,2021-03-20
1.055103073,2021-03-25
1.049849017,2021-03-25
1.062835037,2021-03-25
1.052130448,2021-03-25
1.022562256,2021-03-30
1.026163064,2021-03-30
1.038442616,2021-03-30
1.023929436,2021-03-30
1.029734748,2021-04-04
1.026392451,2021-04-04
1.051723664,2021-04-04
1.024938621,2021-04-04
1.003941573,2021-04-09
0.9993140287,2021-04-09
1.029618626,2021-04-09
