Turbidity,date
-0.04182400816,2018-12-26
-0.06997812058,2018-12-26
-0.06098827409,2018-12-31
-0.06807342678,2018-12-31
-0.04151581381,2018-12-31
-0.07383851564,2018-12-31
-0.05190492935,2019-01-05
-0.05484113797,2019-01-05
-0.03882773634,2019-01-05
-0.058746484,2019-01-05
-0.06205421972,2019-01-10
-0.06430799546,2019-01-10
-0.0396148959,2019-01-10
-0.06131268957,2019-01-10
-0.006868957174,2019-01-15
-0.01009734479,2019-01-15
-0.005950834077,2019-01-15
-0.01465545341,2019-01-15
-0.06180839669,2019-01-20
-0.07339662623,2019-01-20
-0.03682978123,2019-01-20
-0.07875362722,2019-01-20
-0.04613728486,2019-01-25
-0.03165114866,2019-01-25
-0.04723562682,2019-01-25
-0.0361613688,2019-01-25
-0.04419850418,2019-01-30
-0.04494782108,2019-01-30
-0.02160360145,2019-01-30
-0.0483280326,2019-01-30
-0.01200037697,2019-02-04
-0.01464854705,2019-02-04
-0.04191609708,2019-02-04
-0.04658158752,2019-02-04
-0.07159007799,2019-02-09
-0.09755109883,2019-02-09
-0.0420039301,2019-02-09
-0.1019924058,2019-02-09
0.02293920634,2019-02-14
0.02251877341,2019-02-14
0.02108076289,2019-02-14
0.02329746191,2019-02-14
-0.0460750374,2019-02-19
0.002291573618,2019-02-19
-0.02962801096,2019-02-19
0.005672980649,2019-02-19
-0.06624073357,2019-02-24
-0.1036002084,2019-02-24
-0.03574035776,2019-02-24
-0.09113697701,2019-02-24
-0.06132365457,2019-03-01
-0.1048877066,2019-03-01
-0.04008386862,2019-03-01
-0.1057963559,2019-03-01
-0.06266166933,2019-03-06
-0.1067726452,2019-03-06
-0.04426955354,2019-03-06
-0.1062157907,2019-03-06
-0.03877666469,2019-03-11
-0.06471195459,2019-03-11
-0.03064520423,2019-03-11
-0.06293305517,2019-03-11
-0.04470306627,2019-03-16
-0.08598102676,2019-03-16
-0.03319463566,2019-03-16
-0.08468908744,2019-03-16
-0.03478151961,2019-03-21
-0.0520886053,2019-03-21
-0.03172347653,2019-03-21
-0.05562911822,2019-03-21
-0.02175380732,2019-03-26
-0.06308670765,2019-03-26
-0.01969598016,2019-03-26
-0.06345449253,2019-03-26
-0.003979295621,2019-03-31
-0.03878379446,2019-03-31
-0.009954724076,2019-03-31
-0.04079551776,2019-03-31
0.006679115339,2019-04-05
-0.01190626623,2019-04-05
-0.006809165585,2019-04-05
-0.01464986299,2019-04-05
0.01970922937,2019-04-10
0.01290486056,2019-04-10
-8.32E-04,2019-04-10
0.009946959047,2019-04-10
0.0339338007,2019-04-15
0.04223903125,2019-04-15
0.00614100848,2019-04-15
0.03867927923,2019-04-15
0.01832987774,2019-04-20
0.0280611246,2019-04-20
-0.006042735887,2019-04-20
0.02345604269,2019-04-20
0.02561180356,2019-04-25
0.03929067536,2019-04-25
0.001893853152,2019-04-25
0.03414499764,2019-04-25
0.03539856162,2019-04-30
0.04932526958,2019-04-30
0.009909959166,2019-04-30
0.04497183663,2019-04-30
0.03919868873,2019-05-05
0.05604889786,2019-05-05
0.009326155861,2019-05-05
0.05209132549,2019-05-05
0.03482192128,2019-05-10
0.03944463209,2019-05-10
0.01177239622,2019-05-10
0.0383068353,2019-05-10
0.008783498469,2019-05-15
0.01276994047,2019-05-15
0.003838702463,2019-05-15
0.01259244674,2019-05-15
0.02337705842,2019-05-20
0.02839457723,2019-05-20
-7.77E-04,2019-05-20
0.02461262322,2019-05-20
0.02568398491,2019-05-25
0.02969600652,2019-05-25
-7.94E-05,2019-05-25
0.02475870381,2019-05-25
0.03124729042,2019-05-30
0.03634569578,2019-05-30
0.006657209122,2019-05-30
0.03058382322,2019-05-30
0.02632061631,2019-06-04
0.02837890877,2019-06-04
0.005626016909,2019-06-04
0.02445112552,2019-06-04
0.03132129998,2019-06-09
0.03231605878,2019-06-09
0.008173590296,2019-06-09
0.02685831921,2019-06-09
0.0378303378,2019-06-14
0.03801189701,2019-06-14
0.01631995767,2019-06-14
0.03198140628,2019-06-14
0.0229199853,2019-06-19
0.009085593704,2019-06-19
-5.47E-04,2019-06-19
0.003062171853,2019-06-19
0.01819231697,2019-06-24
0.01935304215,2019-06-24
0.01520300459,2019-06-24
0.01440621755,2019-06-24
0.02943244436,2019-06-29
0.02387928318,2019-06-29
0.008520499304,2019-06-29
0.01617782019,2019-06-29
0.01116434534,2019-07-04
0.01711799502,2019-07-04
8.86E-05,2019-07-04
0.0109091276,2019-07-04
0.01418247405,2019-07-09
0.008865540239,2019-07-09
0.01783015428,2019-07-09
0.008733536825,2019-07-09
0.01913123423,2019-07-14
0.01105014907,2019-07-14
0.01145352051,2019-07-14
0.00962495067,2019-07-14
-0.01187075351,2019-07-19
-0.004837701809,2019-07-19
-0.01572964007,2019-07-19
0.005470787932,2019-07-19
-8.14E-04,2019-07-24
-0.01313162589,2019-07-24
-0.00805178749,2019-07-24
-0.006494885995,2019-07-24
-0.0083243177,2019-07-29
-0.04147061158,2019-07-29
-0.008753089414,2019-07-29
-0.05004109309,2019-07-29
